,Porosity,Facies
0,21,mid braided
1,21.3,mid braided
2,22.5,mid braided
3,23.7,mid braided
4,25.8,mid braided
5,28,mid braided
6,20.1,mid braided
7,21,mid braided
8,22.1,mid braided
9,23.4,mid braided
10,24.1,mid braided
11,25.5,mid braided
12,26,mid braided
13,20.8,mid braided
14,22.3,mid braided
15,24,mid braided
16,28.5,mid braided
17,21.3,mid braided
18,23.8,mid braided
19,25.5,mid braided
20,27,mid braided
21,21.8,mid braided
22,22.9,mid braided
23,24.5,mid braided
24,20,mid braided
25,21.3,mid braided
26,23,mid braided
27,23,mid braided
28,15,mid braided
29,16.6,mid braided
30,18.8,mid braided
31,19.2,mid braided
32,18.1,mid braided
33,19.2,mid braided
34,12.6,mid braided
35,16,mid braided
36,16.5,mid braided
37,18,mid braided
38,18.1,mid braided
39,19.4,mid braided
40,21.7,mid braided
41,12.8,mid braided
42,15.9,mid braided
43,17.7,mid braided
44,14,mid braided
45,16,mid braided
46,17.8,mid braided
47,30.8,distal braided
48,30.3,distal braided
49,29.2,distal braided
50,28.9,distal braided
51,27.7,distal braided
52,26.5,distal braided
53,24.5,distal braided
54,28.5,distal braided
55,28.3,distal braided
56,27.7,distal braided
57,26.8,distal braided
58,27,distal braided
59,27.2,distal braided
60,30,distal braided
61,25.8,distal braided
62,26.9,distal braided
63,28.6,distal braided
64,24,distal braided
65,25.5,distal braided
66,25.8,distal braided
67,26.4,distal braided
68,27,distal braided
69,28,distal braided
70,29.2,distal braided
71,29.5,distal braided
72,30.2,distal braided
73,23.3,distal braided
74,25.5,distal braided
75,25.8,distal braided
76,26.6,distal braided
77,27.4,distal braided
78,28,distal braided
79,18.3,distal braided
80,21,distal braided
81,22.7,distal braided
82,23.9,distal braided
83,24.8,distal braided
84,25.6,distal braided
85,26.6,distal braided
86,27.7,distal braided
87,25.4,distal braided
88,26.3,distal braided
89,27,distal braided
90,26.4,distal braided
91,27.7,distal braided
92,19.4,distal braided
93,21.6,distal braided
94,24,distal braided
95,24.9,distal braided
96,23,distal braided
97,24.1,distal braided
98,26.7,distal braided
99,23.7,distal braided
100,19,distal braided
101,20.9,distal braided
102,22,distal fluvial
103,24.8,distal fluvial
104,26.5,distal fluvial
105,22.9,distal fluvial
106,23.9,distal fluvial
107,24.8,distal fluvial
108,26.2,distal fluvial
109,23.7,distal fluvial
110,24.9,distal fluvial
111,25.5,distal fluvial
112,20.9,distal fluvial
113,22.6,distal fluvial
114,25.2,distal fluvial
115,26.2,distal fluvial
116,25.4,distal fluvial
117,26.1,distal fluvial
118,21.4,distal fluvial
119,22.2,distal fluvial
120,23.5,distal fluvial
121,24.5,distal fluvial
122,25.5,distal fluvial
123,21.1,distal fluvial
124,21.9,distal fluvial
125,23,distal fluvial
126,24,distal fluvial
127,24.6,distal fluvial
128,20.6,distal fluvial
129,21.9,distal fluvial
130,22.9,distal fluvial
131,23.8,distal fluvial
132,25.1,distal fluvial
133,22.2,distal fluvial
134,23,distal fluvial
135,24.7,distal fluvial
136,22.8,distal fluvial
137,21,distal fluvial
138,22,distal fluvial
139,22.2,distal fluvial
140,24.9,distal fluvial
141,20.3,distal fluvial
142,21.1,distal fluvial
143,22,distal fluvial
144,22.1,distal fluvial
145,20.2,distal fluvial
146,21.5,distal fluvial
147,22.1,distal fluvial
148,21,distal fluvial
149,24.1,distal fluvial
150,14,distal fluvial
151,19,distal fluvial
152,16.4,distal fluvial
153,18.5,distal fluvial
154,13.6,distal fluvial
155,15,distal fluvial
156,18,distal fluvial
157,19.1,distal fluvial
158,13.2,distal fluvial
159,16,distal fluvial
160,17.1,distal fluvial
161,19,distal fluvial
162,19.1,distal fluvial
163,16,distal fluvial
164,18.4,distal fluvial
165,19.2,distal fluvial
166,19.8,distal fluvial
